"id";"ilan_no";"brand";"model";"year";"loc1";"loc2";"loc3";"loc4";"loc5";"km";"date";"listing_price";"otoendeks_price";"arabam_price";"fuel_Type";"transmission";"body_type";"power";"displacement";"drivewheel";"hard_hit";"owner";"painted_parts";"changed_parts"
"2453";"1086894333";"Skoda";"Fabia 1.4 TDI Ambiente";"2008";"Türkiye";"Erzurum";"Yakutiye";"Lalapaşa";"0";"162500";"1679356800";"305000";"190122";NULL;"Dizel";"Manuel";"Sedan";"70 hp";"1422 cc";"Önden Çekiş";"Hayır";"Sahibinden";"0203111204";
"2454";"1086959837";"Chevrolet";"Lacetti 1.6 SX";"2005";"Türkiye";"Antalya";"Kepez";"Sütçüler";"0";"272000";"1679356800";"233000";"164550";NULL;"Benzin & LPG";"Manuel";"Sedan";"109 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2455";"1050461166";"Citroën";"C5 1.6 e-HDi  Dynamique";"2011";"Türkiye";"Antalya";"Kepez";"Dokuma";"0";"290000";"1679356800";"395000";"328605";NULL;"Dizel";"Yarı Otomatik";"Sedan";"112 hp";"1560 cc";"Önden Çekiş";"Hayır";"Sahibinden";"07";
"2456";"1086920454";"Hyundai";"Accent 1.5 1.5i GLS";"2001";"Türkiye";"Ankara";"Etimesgut";"Çarşı";"0";"229000";"1679356800";"204999";"0";NULL;"Benzin & LPG";"Manuel";"Sedan";"102 hp";"1495 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2457";"1086941365";"Toyota";"Corolla 1.6 Sol";"2001";"Türkiye";"Şanlıurfa";"Eyyübiye";"Merkez";"0";"293000";"1679356800";"255000";"0";NULL;"Benzin & LPG";"Manuel";"Sedan";"110 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2458";"1086959944";"Ford";"Focus 1.6 TDCi Trend X";"2013";"Türkiye";"İstanbul";"Esenyurt";"Esenyurt";"0";"147000";"1679356800";"470000";"434750";NULL;"Dizel";"Manuel";"Sedan";"95 hp";"1560 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2459";"1086956610";"Ford";"Focus 1.6 Trend X";"2009";"Türkiye";"Ankara";"Keçiören";"Aktepe";"0";"232000";"1679356800";"300000";"312200";NULL;"Benzin & LPG";"Otomatik";"Sedan";"100 hp";"1596 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2460";"1086955715";"Peugeot";"301 1.6 BlueHDI Active";"2018";"Türkiye";"Kocaeli";"Çayırova";"Çayırova";"0";"182000";"1679356800";"399000";"358673";NULL;"Dizel";"Manuel";"Sedan";"100 hp";"1560 cc";"Önden Çekiş";"Hayır";"Sahibinden";"1006";
"2461";"1086959221";"Fiat";"Egea 1.6 Multijet Urban";"2021";"Türkiye";"İstanbul";"Beylikdüzü";"Yakuplu";"0";"41000";"1679356800";"625000";"0";NULL;"Dizel";"Manuel";"Sedan";"130 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2462";"1086953024";"Mercedes - Benz";"200 200 E";"1989";"Türkiye";"Gaziantep";"Şahinbey";"Konak";"0";"425000";"1679356800";"235000";"0";NULL;"Benzin & LPG";"Manuel";"Sedan";"118 hp";"1997 cc";"Arkadan İtiş";"Hayır";"Sahibinden";;
"2463";"1086959775";"Renault";"Megane 1.5 dCi Sportway";"2005";"Türkiye";"Muğla";"Fethiye";"Fethiye";"0";"215000";"1679356800";"299950";"0";NULL;"Dizel";"Manuel";"Sedan";"86 hp";"1461 cc";"Önden Çekiş";"Hayır";"Sahibinden";"0213";
"2464";"1065353416";"Volkswagen";"Golf 1.6 TDI BlueMotion Highline";"2015";"Türkiye";"İstanbul";"Sarıyer";"Merkez";"0";"123000";"1679356800";"800000";"0";NULL;"Dizel";"Yarı Otomatik";"Hatchback 5 kapı";"110 hp";"1598 cc";"Önden Çekiş";"Hayır";"Sahibinden";"0910";
"2465";"1045169865";"Renault";"Fluence 1.5 dCi Joy";"2013";"Türkiye";"İzmir";"Kınık";"Kınık";"0";"135000";"1679356800";"439000";"358891";NULL;"Dizel";"Manuel";"Sedan";"90 hp";"1461 cc";"Önden Çekiş";"Hayır";"Sahibinden";;
"2466";"1086927073";"Ford";"Fiesta 1.4 TDCi Comfort";"2004";"Türkiye";"Antalya";"Kepez";"Dokuma";"0";"190000";"1679356800";"265000";"214113";NULL;"Dizel";"Manuel";"Hatchback 5 kapı";"68 hp";"1399 cc";"Önden Çekiş";"Hayır";"Sahibinden";"13";
"2467";"1086925366";"Opel";"Corsa 1.2 Twinport Essentia";"2009";"Türkiye";"İstanbul";"Pendik";"Yenişehir";"0";"80000";"1679356800";"374999";"307749";NULL;"Benzin";"Yarı Otomatik";"Hatchback 5 kapı";"80 hp";"1229 cc";"Önden Çekiş";"Hayır";"Sahibinden";"1306";
