,brand_model,year,km,fuel_type,transmission,body_type,power,displacement,drivewheel,hard_hit,painted_parts,changed_parts,listing_price,age
2117,Citroën C-Elysée 1.6 HDi  Attraction,2015,173000,Dizel,Manuel,Sedan,92.0,1.6,Önden Çekiş,0,,,358000,8.0
2118,Volkswagen Polo 1.2 TDI Trendline,2012,135000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.2,Önden Çekiş,0,,,425000,11.0
2119,Seat Ibiza 1.2 TSI Style,2013,105500,Benzin,Yarı Otomatik,Hatchback 5 kapı,105.0,1.2,Önden Çekiş,0,,,510000,10.0
2120,Mercedes - Benz C Serisi C 200 d BlueTEC AMG,2015,103000,Dizel,Otomatik,Sedan,136.0,1.6,Arkadan İtiş,0,,,1335000,8.0
2121,Renault Symbol 0.9 TCe Joy,2019,23000,Benzin & LPG,Manuel,Sedan,90.0,0.9,Önden Çekiş,0,,,462000,4.0
2122,Volkswagen Golf 1.6 TDI BlueMotion Highline,2017,85500,Dizel,Yarı Otomatik,Hatchback 5 kapı,115.0,1.6,Önden Çekiş,0,,,1175000,6.0
2123,Renault Symbol 1.5 DCI Joy,2016,144000,Dizel,Manuel,Sedan,90.0,1.5,Önden Çekiş,0,,,290000,7.0
2124,Volkswagen Bora 1.6 Comfortline,2001,338000,Benzin & LPG,Manuel,Sedan,105.0,1.6,Önden Çekiş,0,,,245000,22.0
2125,Hyundai Elantra 1.6 MPI Style Comfort,2022,8500,Benzin,Yarı Otomatik,Sedan,123.0,1.6,Önden Çekiş,0,,,817500,1.0
2126,Volkswagen Polo 1.2 TSI Comfortline,2015,78000,Benzin,Manuel,Hatchback 5 kapı,90.0,1.2,Önden Çekiş,0,rear-bumper,,550000,8.0
2127,Renault Fluence 1.5 dCi Extreme,2011,199000,Dizel,Yarı Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,,389000,12.0
2128,Opel Astra 1.3 CDTI Enjoy Elegance,2009,268000,Dizel,Manuel,Sedan,90.0,1.2,Önden Çekiş,0,front-right-mudguard,,318000,14.0
2129,Citroën C4 1.2 PureTech Feel Bold,2022,1001,Benzin,Otomatik,Hatchback 5 kapı,130.0,1.2,Önden Çekiş,0,,,959000,1.0
2130,Peugeot 301 1.6 HDi Allure,2014,118500,Dizel,Manuel,Sedan,92.0,1.6,Önden Çekiş,0,,,409000,9.0
2131,Opel Astra 1.3 CDTI Enjoy,2008,230000,Dizel,Manuel,Sedan,90.0,1.2,Önden Çekiş,0,,,385000,15.0
2132,Hyundai Getz 1.5 CRDi VGT,2009,193000,Dizel,Manuel,Hatchback 5 kapı,110.0,1.5,Önden Çekiş,0,front-right-mudguard,,272000,14.0
2133,Renault Clio 0.9 TCe Touch,2020,34000,Benzin,Manuel,Hatchback 5 kapı,90.0,0.9,Önden Çekiş,0,,,478000,3.0
2134,Renault Clio 1.2 Extreme,2009,170000,Benzin,Manuel,Hatchback 5 kapı,75.0,1.1,Önden Çekiş,0,,,298700,14.0
2135,BMW 3 Serisi 320i First Edition Sport Line,2022,12500,Benzin,Otomatik,Sedan,170.0,1.6,Arkadan İtiş,0,,,2150000,1.0
2136,Volkswagen Jetta 1.6 TDI Trendline,2012,107000,Dizel,Manuel,Sedan,105.0,1.6,Önden Çekiş,0,,front-right-mudguard,550000,11.0
2137,Renault Fluence 1.5 dCi Business,2012,224000,Dizel,Manuel,Sedan,85.0,1.5,Önden Çekiş,1,"front-right-mudguard,front-right-door,rear-right-door,rear-right-mudguard,rear-left-mudguard","front-left-mudguard,front-left-door,rear-left-door",265000,11.0
2138,Renault Megane 1.5 dCi GT-Line,2012,196700,Dizel,Otomatik,Hatchback 5 kapı,113.0,1.5,Önden Çekiş,0,"rear-right-mudguard,front-left-door,rear-left-door,rear-left-mudguard",,450000,11.0
2139,Renault Megane 1.5 dCi Touch,2018,150000,Dizel,Yarı Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,,628000,5.0
2140,Toyota Yaris 1.0 Terra,2008,80000,Benzin,Yarı Otomatik,Hatchback 5 kapı,69.0,1.0,Önden Çekiş,0,,,386500,15.0
2141,Volkswagen Golf 1.6 TDI BlueMotion Highline,2017,150000,Dizel,Yarı Otomatik,Hatchback 5 kapı,110.0,1.6,Önden Çekiş,0,front-hood,front-left-mudguard,732000,6.0
2142,Opel Astra 1.6 Elegance,2001,267000,Benzin & LPG,Manuel,Sedan,100.0,1.6,Önden Çekiş,0,,,285000,22.0
2143,Opel Corsa 1.3 CDTI  Essentia,2014,218000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.2,Önden Çekiş,0,rear-left-mudguard,"rear-left-door,rear-hood",340000,9.0
2144,Ford Fiesta 1.4 TDCi Comfort,2007,234041,Dizel,Manuel,Hatchback 5 kapı,68.0,1.4,Önden Çekiş,1,,,250000,16.0
2145,Fiat Egea 1.4 Fire Easy,2019,166000,Benzin & LPG,Manuel,Sedan,95.0,1.4,Önden Çekiş,0,,rear-left-mudguard,405000,4.0
2146,Kia Pro Ceed 1.6 CRDi Cool,2010,286000,Dizel,Manuel,Hatchback 3 kapı,115.0,1.6,Önden Çekiş,0,,,275000,13.0
2147,Skoda Octavia 1.2 TSI Style,2016,91000,Benzin,Yarı Otomatik,Hatchback 5 kapı,110.0,1.2,Önden Çekiş,0,,"front-left-door,rear-left-door",710000,7.0
2148,Ford Focus 1.6 TDCi Trend X,2014,70000,Dizel,Manuel,Sedan,95.0,1.6,Önden Çekiş,0,,,600000,9.0
2149,Opel Astra 1.6 Enjoy,2005,193000,Benzin & LPG,Yarı Otomatik,Hatchback 5 kapı,105.0,1.6,Önden Çekiş,0,,,305000,18.0
2150,Mercedes - Benz C Serisi C 180 AMG,2016,138000,Benzin,Otomatik,Sedan,156.0,1.6,Arkadan İtiş,0,"front-hood,front-right-mudguard,front-right-door,rear-right-door,rear-right-mudguard,front-left-mudguard,front-left-door,rear-left-door,rear-left-mudguard",,1320000,7.0
2151,Renault Megane 1.6 Joy,2017,137000,Benzin & LPG,Manuel,Hatchback 5 kapı,115.0,1.6,Önden Çekiş,1,,,502000,6.0
2152,Opel Astra 1.6 CDTI Excellence,2017,85000,Dizel,Otomatik,Station Wagon,136.0,1.6,Önden Çekiş,0,rear-right-mudguard,,789000,6.0
2153,Ford Fiesta 1.4 TDCi Comfort,2007,231000,Dizel,Manuel,Hatchback 5 kapı,68.0,1.4,Önden Çekiş,0,,,227000,16.0
2154,Volvo S60 1.5 T3 Advance,2016,107000,Benzin,Otomatik,Sedan,152.0,1.5,Önden Çekiş,0,,,960000,7.0
2155,Mercedes - Benz C Serisi C 200 d BlueTEC Comfort,2018,95000,Dizel,Otomatik,Sedan,136.0,1.6,Arkadan İtiş,0,,,1240000,5.0
2156,Mercedes - Benz CLS 350 CDI AMG,2013,210000,Dizel,Yarı Otomatik,Coupe,263.0,2.8,Arkadan İtiş,0,,,1675000,10.0
2157,Fiat Linea 1.3 Multijet Pop,2014,140000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,,,327000,9.0
2158,Seat Leon 1.2 TSI Style,2018,13000,Benzin,Yarı Otomatik,Hatchback 5 kapı,110.0,1.2,Önden Çekiş,0,"front-bumper,front-right-door,rear-right-door,rear-right-mudguard",,742500,5.0
2159,Ford Focus 1.6 TDCi Ghia,2006,212000,Dizel,Yarı Otomatik,Sedan,110.0,1.6,Önden Çekiş,0,"front-right-mudguard,front-left-mudguard",front-hood,275000,17.0
2160,Ford Fiesta 1.4 Titanium,2010,78000,Benzin & LPG,Otomatik,Hatchback 5 kapı,96.0,1.4,Önden Çekiş,0,,,476750,13.0
2161,Volkswagen Golf 1.6 Primeline,2008,254350,Benzin & LPG,Manuel,Hatchback 5 kapı,102.0,1.6,Önden Çekiş,0,"front-right-mudguard,front-left-mudguard",,378750,15.0
2162,Mercedes - Benz A Serisi A 180 d Style,2020,72000,Dizel,Yarı Otomatik,Sedan,116.0,1.5,Önden Çekiş,0,,,1300000,3.0
2163,Honda Jazz 1.4 ES,2004,176000,Benzin,Yarı Otomatik,Hatchback 5 kapı,83.0,1.3,Önden Çekiş,0,"front-bumper,front-left-door,rear-bumper",,310000,19.0
2164,Renault Fluence 1.5 dCi Extreme,2011,234000,Dizel,Yarı Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,,360000,12.0
2165,Fiat Egea 1.4 Fire Easy,2020,23000,Benzin,Manuel,Sedan,95.0,1.4,Önden Çekiş,0,,,482000,3.0
2166,Volkswagen Golf 1.2 TSI Comfortline,2014,69000,Benzin,Manuel,Hatchback 5 kapı,105.0,1.2,Önden Çekiş,0,,,610000,9.0
2167,Renault Fluence 1.5 dCi Touch,2014,150000,Dizel,Manuel,Sedan,110.0,1.5,Önden Çekiş,0,,,450000,9.0
2168,Chevrolet Cruze 1.6 Sport Plus,2013,202000,Benzin & LPG,Manuel,Hatchback 5 kapı,124.0,1.6,Önden Çekiş,1,,,310000,10.0
2169,Mercedes - Benz C Serisi C 180 Komp. BlueEfficiency AMG,2012,284000,Benzin & LPG,Yarı Otomatik,Sedan,156.0,1.6,Arkadan İtiş,0,,,758000,11.0
2170,Ford Focus 1.6 Comfort,2011,210000,Benzin,Manuel,Hatchback 5 kapı,100.0,1.6,Önden Çekiş,0,,,335000,12.0
2171,Renault Clio 1.5 dCi Grandtour Dynamique,2008,225500,Dizel,Manuel,Station Wagon,80.0,1.5,Önden Çekiş,0,"rear-right-mudguard,rear-left-mudguard,rear-hood",,287000,15.0
2172,Volkswagen Passat 1.6 TDI BlueMotion Trendline,2017,169000,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,,,749000,6.0
2173,Toyota Auris 1.4 D-4D Comfort Plus,2011,149000,Dizel,Manuel,Hatchback 5 kapı,90.0,1.4,Önden Çekiş,0,,,386500,12.0
2174,Volkswagen Passat 1.6 TDI BlueMotion Comfortline,2017,142000,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,,,899000,6.0
2175,Volkswagen Golf 1.6 FSI Comfortline,2004,287000,Benzin,Manuel,Hatchback 5 kapı,115.0,1.6,Önden Çekiş,0,"front-right-door,rear-right-door",,300000,19.0
2176,Volkswagen Polo 1.4 Basicline,2005,165500,Benzin,Manuel,Hatchback 5 kapı,75.0,1.4,Önden Çekiş,0,"front-right-door,rear-left-door,rear-left-mudguard",front-right-mudguard,282000,18.0
2177,Peugeot 307 1.6 XT Premium,2003,216000,Benzin & LPG,Otomatik,Hatchback 5 kapı,109.0,1.6,Önden Çekiş,0,,,277000,20.0
2178,Audi A4 A4 Sedan 40 TDI Quattro Advanced,2023,2900,Dizel,Yarı Otomatik,Sedan,204.0,2.0,4WD (Sürekli),0,,,2250000,0.0
2179,Seat Ibiza 1.4 Style,2014,43500,Benzin,Manuel,Hatchback 5 kapı,85.0,1.4,Önden Çekiş,0,,,440000,9.0
2180,Fiat Albea 1.3 Multijet Active,2007,286000,Dizel,Manuel,Sedan,70.0,1.2,Önden Çekiş,0,,,230000,16.0
2181,Toyota Yaris 1.0 Life,2012,99000,Benzin,Manuel,Hatchback 5 kapı,69.0,1.0,Önden Çekiş,0,,rear-right-door,347000,11.0
2182,Honda Civic 1.6i VTEC Eco Elegance,2016,66000,Benzin & LPG,Otomatik,Sedan,125.0,1.6,Önden Çekiş,0,"rear-right-mudguard,rear-bumper",,715000,7.0
2183,Toyota Corolla 1.33 Comfort,2011,115000,Benzin,Manuel,Sedan,99.0,1.3,Önden Çekiş,0,,,370000,12.0
2184,Volkswagen Passat 1.5 TSI  Business,2019,41850,Benzin,Yarı Otomatik,Sedan,150.0,1.5,Önden Çekiş,0,,,1160000,4.0
2185,Opel Vectra 1.6 Edition,2005,99000,Benzin,Manuel,Sedan,100.0,1.6,Önden Çekiş,0,,,435000,18.0
2186,Citroën C3 Picasso 1.6 HDi SX,2011,150000,Dizel,Manuel,MPV,90.0,1.6,Önden Çekiş,1,,,330000,12.0
2187,Renault Megane 1.6 Dynamique,2004,236495,Benzin & LPG,Manuel,Sedan,115.0,1.6,Önden Çekiş,0,,,235500,19.0
2188,Ford Focus 1.5 TDCi Trend X,2017,198431,Dizel,Yarı Otomatik,Sedan,120.0,1.5,Önden Çekiş,0,,,610000,6.0
2189,Audi A4 A4 Sedan 2.0 TDI Dynamic,2017,95200,Dizel,Yarı Otomatik,Sedan,190.0,2.0,Önden Çekiş,0,rear-left-door,,1320000,6.0
2190,BMW 3 Serisi 320d Standart,2010,230000,Dizel,Otomatik,Sedan,184.0,2.0,Arkadan İtiş,0,,,515000,13.0
2191,BMW 1 Serisi 116d Joy Plus,2015,146000,Dizel,Otomatik,Hatchback 5 kapı,113.0,1.5,Arkadan İtiş,0,,,745000,8.0
2192,Volkswagen Jetta 1.6 Primeline,2008,214000,Benzin & LPG,Manuel,Sedan,102.0,1.6,Önden Çekiş,0,"front-hood,rear-left-door,rear-left-mudguard",,385000,15.0
2193,Volkswagen Polo 1.4 Comfortline,2012,144000,Benzin,Manuel,Hatchback 5 kapı,85.0,1.4,Önden Çekiş,0,,,453000,11.0
2194,Ford C-Max 1.6 TDCi Titanium,2012,296000,Dizel,Manuel,MPV,115.0,1.6,Önden Çekiş,0,,,350000,11.0
2195,Renault Laguna 1.6 Expression,2005,345000,Benzin & LPG,Manuel,Hatchback 5 kapı,110.0,1.6,Önden Çekiş,0,"rear-right-door,rear-right-mudguard",,235000,18.0
2196,Seat Leon 1.4 TSI FR,2012,175000,Benzin,Manuel,Hatchback 5 kapı,125.0,1.4,Önden Çekiş,0,,"front-hood,front-left-door",378500,11.0
2197,Renault Clio 1.5 dCi Joy,2015,95800,Dizel,Manuel,Hatchback 5 kapı,75.0,1.5,Önden Çekiş,0,front-hood,,424000,8.0
2198,BMW 5 Serisi 528i xDrive Comfort,2012,135000,Benzin,Yarı Otomatik,Sedan,245.0,2.0,4WD (Sürekli),0,,,1450000,11.0
2199,Peugeot 508 2.0 HDi Allure,2011,250000,Dizel,Yarı Otomatik,Station Wagon,163.0,2.0,Önden Çekiş,0,,rear-right-mudguard,450000,12.0
2200,Hyundai Sonata 2.0 CRDi H-Matic,2008,302000,Dizel,Otomatik,Sedan,140.0,2.0,Önden Çekiş,0,,,360000,15.0
2201,Honda Civic 1.6i VTEC Elegance,2018,48000,Benzin & LPG,Yarı Otomatik,Sedan,125.0,1.6,Önden Çekiş,0,,,860000,5.0
2202,Seat Leon 1.4 TSI FR,2016,102000,Benzin,Manuel,Hatchback 5 kapı,125.0,1.4,Önden Çekiş,1,,,628000,7.0
2203,Renault Clio 1.5 dCi Touch,2016,149000,Dizel,Yarı Otomatik,Hatchback 5 kapı,90.0,1.5,Önden Çekiş,0,"front-bumper,front-hood,rear-right-mudguard,front-left-mudguard,front-left-door,rear-left-mudguard,rear-bumper",,475000,7.0
2204,Renault Megane 1.5 dCi Touch,2018,126700,Dizel,Yarı Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,,683000,5.0
2205,Renault Fluence 1.5 dCi Touch Plus,2015,183000,Dizel,Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,,475000,8.0
2206,Volkswagen VW CC 1.4 TSI Sportline,2013,201000,Benzin,Yarı Otomatik,Coupe,160.0,1.4,Önden Çekiş,0,"front-right-door,front-left-door",,652500,10.0
2207,Hyundai i20 1.4 MPI Style,2017,56000,Benzin,Otomatik,Hatchback 5 kapı,100.0,1.4,Önden Çekiş,0,"front-bumper,front-right-door,rear-right-door,rear-right-mudguard,rear-bumper",,567000,6.0
2208,Opel Astra 1.3 CDTI Essentia,2005,227473,Dizel,Manuel,Hatchback 5 kapı,90.0,1.2,Önden Çekiş,0,"front-left-mudguard,front-left-door,rear-left-door,rear-left-mudguard,rear-hood",,290000,18.0
2209,Ford Focus 1.6 TDCi Collection,2011,320000,Dizel,Manuel,Sedan,90.0,1.6,Önden Çekiş,0,"front-bumper,front-hood,front-right-door,rear-right-door,rear-right-mudguard,front-left-mudguard,front-left-door,rear-left-door,rear-left-mudguard,rear-hood,rear-bumper",front-right-mudguard,295000,12.0
2210,Peugeot 301 1.6 HDi Allure,2015,130000,Dizel,Manuel,Sedan,92.0,1.6,Önden Çekiş,0,rear-right-mudguard,rear-hood,397500,8.0
2211,Fiat Egea 1.4 Fire Easy Plus,2016,119000,Benzin & LPG,Manuel,Hatchback 5 kapı,95.0,1.4,Önden Çekiş,0,,,410000,7.0
2212,Volkswagen Polo 1.0 TSI Highline,2018,95000,Benzin,Yarı Otomatik,Hatchback 5 kapı,95.0,1.0,Önden Çekiş,0,,,680000,5.0
2213,Volkswagen Jetta 1.6 TDI Primeline,2011,208000,Dizel,Otomatik,Sedan,105.0,1.6,Önden Çekiş,0,,,420000,12.0
2214,Kia Rio 1.5 CRDi EX Comfort,2008,267141,Dizel,Manuel,Sedan,110.0,1.5,Önden Çekiş,0,,,270000,15.0
2215,Ford Focus 1.6 TDCi Trend X,2014,116000,Dizel,Manuel,Sedan,95.0,1.6,Önden Çekiş,0,,,485000,9.0
2216,Opel Corsa 1.3 CDTI  Active,2014,117000,Dizel,Manuel,Hatchback 5 kapı,95.0,1.2,Önden Çekiş,0,,,400000,9.0
2217,Opel Astra 1.6 Edition,2015,66790,Benzin & LPG,Manuel,Sedan,115.0,1.6,Önden Çekiş,1,,,437500,8.0
2218,Toyota Corolla 1.4 D-4D Elegant,2010,203000,Dizel,Yarı Otomatik,Sedan,90.0,1.4,Önden Çekiş,0,,,460000,13.0
2219,Hyundai i30 1.6 CRDi Elite,2015,108500,Dizel,Otomatik,Hatchback 5 kapı,128.0,1.6,Önden Çekiş,1,,,515000,8.0
2220,Fiat Albea 1.2 EL,2004,192000,Benzin & LPG,Yarı Otomatik,Sedan,80.0,1.2,Önden Çekiş,0,,,220000,19.0
2221,Peugeot 207 1.4 HDi Trendy,2007,171000,Dizel,Manuel,Hatchback 5 kapı,70.0,1.4,Önden Çekiş,0,,,331000,16.0
2222,Peugeot 206 1.4 Comfort,2010,148800,Benzin & LPG,Manuel,Sedan,75.0,1.4,Önden Çekiş,0,"front-left-mudguard,rear-left-mudguard",rear-left-door,229000,13.0
2223,Volkswagen Passat 1.6 FSI Comfortline,2007,195000,Benzin,Manuel,Sedan,115.0,1.6,Önden Çekiş,0,,,407500,16.0
