,brand_model,year,km,fuel_type,transmission,body_type,power,displacement,drivewheel,hard_hit,painted_parts,changed_parts,listing_price,age
0,Renault Megane1.5 dCi Touch,2018,69283,Dizel,Yarı Otomatik,Sedan,113.0,1.5,Önden Çekiş,1,,,684000,5.0
1,Mercedes - Benz CLA180 d Comfort,2016,126000,Dizel,Yarı Otomatik,Coupe,109.0,1.5,Önden Çekiş,0,"front-bumper,front-right-mudguard",,1055000,7.0
2,Renault Symbol1.5 DCI Joy,2013,202000,Dizel,Manuel,Sedan,75.0,1.5,Önden Çekiş,0,rear-left-mudguard,,325000,10.0
3,Volkswagen Passat1.6 TDI BlueMotion Highline,2016,205000,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,,,885000,7.0
4,Honda Civic1.6i VTEC Eco Elegance,2017,183000,Benzin & LPG,Otomatik,Sedan,138.0,1.7,Önden Çekiş,0,rear-right-door,"front-left-door,rear-left-door",656000,6.0
5,Renault Clio1.5 dCi Touch,2012,141000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.5,Önden Çekiş,1,"front-hood,rear-right-door,rear-right-mudguard,rear-left-mudguard,rear-hood,rear-bumper",,385000,11.0
6,Peugeot 3011.5 BlueHDI Active,2019,94700,Dizel,Manuel,Sedan,100.0,1.5,Önden Çekiş,0,"front-left-mudguard,front-left-door,rear-left-door,rear-left-mudguard",,490000,4.0
7,Seat Alhambra1.9 TDI,2002,234000,Dizel,Manuel,MPV,115.0,1.9,Önden Çekiş,0,,,225000,21.0
8,Volkswagen Passat1.6 TDI BlueMotion Comfortline,2018,118756,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,,,912750,5.0
9,Fiat Egea1.3 Multijet Easy,2018,138000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,"front-right-door,rear-right-door,rear-right-mudguard,front-left-door,rear-hood",front-right-mudguard,425000,5.0
10,Hyundai Getz1.4 DOHC 1.4 AB AC,2007,72000,Benzin,Otomatik,Hatchback 5 kapı,97.0,1.4,Önden Çekiş,0,"front-right-mudguard,front-right-door,rear-right-door,rear-right-mudguard,front-left-door",front-left-mudguard,372500,16.0
11,Fiat Egea1.3 Multijet Easy,2017,91000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,,,465000,6.0
12,Volkswagen Polo1.6 TDI Comfortline,2013,149000,Dizel,Manuel,Hatchback 5 kapı,90.0,1.6,Önden Çekiş,0,,,515000,10.0
13,BMW 3 Serisi316ti Compact,2002,240000,Benzin & LPG,Manuel,Hatchback 3 kapı,115.0,1.6,Arkadan İtiş,0,,,265000,21.0
14,Skoda Superb1.5 TSI Prestige,2022,30000,Benzin,Yarı Otomatik,Sedan,150.0,1.5,Önden Çekiş,0,,,1625000,1.0
15,Chevrolet Cruze1.6 Design Edition Plus,2011,142000,Benzin & LPG,Manuel,Sedan,124.0,1.6,Önden Çekiş,1,,,365000,12.0
16,Mercedes - Benz C SerisiC 180 Komp. BlueEfficiency Fascination,2009,230000,Benzin & LPG,Yarı Otomatik,Sedan,156.0,1.6,Arkadan İtiş,0,,,635000,14.0
17,Chevrolet Aveo1.4 LS,2011,123000,Benzin & LPG,Manuel,Hatchback 5 kapı,100.0,1.4,Önden Çekiş,0,"front-right-mudguard,rear-right-door,rear-right-mudguard,front-left-mudguard,rear-left-door,rear-left-mudguard,rear-hood",,285000,12.0
18,Hyundai i201.2 MPI Style,2014,83400,Benzin,Manuel,Hatchback 5 kapı,84.0,1.2,Önden Çekiş,1,"front-left-mudguard,rear-left-mudguard","front-hood,front-left-door",365000,9.0
19,Hyundai i201.4 MPI Jump,2021,33500,Benzin,Otomatik,Hatchback 5 kapı,100.0,1.4,Önden Çekiş,0,,,575000,2.0
20,Honda Civic1.6i VTEC Premium,2009,230000,Benzin & LPG,Manuel,Sedan,125.0,1.6,Önden Çekiş,0,,,399000,14.0
21,Hyundai Getz1.4 DOHC Start,2008,218000,Benzin & LPG,Manuel,Hatchback 5 kapı,97.0,1.4,Önden Çekiş,0,,,220000,15.0
22,Skoda Superb1.6 TDI Prestige,2014,179000,Dizel,Yarı Otomatik,Sedan,113.0,3.3,Önden Çekiş,0,,,712500,9.0
23,Ford Fiesta1.4 Titanium,2014,119000,Benzin & LPG,Manuel,Hatchback 5 kapı,96.0,1.4,Önden Çekiş,0,,,445000,9.0
24,Volkswagen Golf1.2 TSI Comfortline,2015,123000,Benzin,Yarı Otomatik,Hatchback 5 kapı,110.0,1.2,Önden Çekiş,0,,,708000,8.0
25,Hyundai i201.4 MPI Elite Smart,2016,69800,Benzin,Otomatik,Hatchback 5 kapı,100.0,1.4,Önden Çekiş,0,,,595000,7.0
26,Toyota Corolla1.6 Terra Special,2000,266700,Benzin & LPG,Manuel,Sedan,110.0,1.6,Önden Çekiş,0,"front-bumper,front-hood,front-right-mudguard,front-left-mudguard",,260000,23.0
27,Volkswagen Passat1.6 TDI BlueMotion Trendline,2017,83000,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,"front-right-mudguard,front-right-door,rear-right-door",,830000,6.0
28,Citroën C-Elysée1.6 HDi  Confort,2015,107000,Dizel,Manuel,Sedan,92.0,1.6,Önden Çekiş,0,front-left-mudguard,"front-hood,front-right-mudguard",368000,8.0
29,Renault Clio1.4 RTA,2001,163000,Benzin & LPG,Manuel,Hatchback 5 kapı,75.0,1.4,Önden Çekiş,0,,,210000,22.0
30,Opel Corsa1.2 Essentia,2015,44000,Benzin & LPG,Manuel,Hatchback 5 kapı,70.0,1.2,Önden Çekiş,0,,,439500,8.0
31,Volkswagen Golf1.6 TDI BlueMotion Highline,2017,100000,Dizel,Yarı Otomatik,Hatchback 5 kapı,115.0,1.6,Önden Çekiş,0,,,965000,6.0
32,Renault Fluence1.5 dCi Icon,2014,141000,Dizel,Yarı Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,,540000,9.0
33,Toyota Yaris1.0 Life,2012,50600,Benzin,Manuel,Hatchback 5 kapı,69.0,1.0,Önden Çekiş,0,,,378000,11.0
34,Renault Clio1.5 dCi Touch,2018,150000,Dizel,Yarı Otomatik,Hatchback 5 kapı,90.0,1.5,Önden Çekiş,0,,,505000,5.0
35,Mercedes - Benz A SerisiA 180 CDI BlueEfficiency AMG,2014,108000,Dizel,Yarı Otomatik,Hatchback 5 kapı,109.0,1.5,Önden Çekiş,0,,,799000,9.0
36,Fiat PuntoGrande 1.4 Fire Active,2009,94000,Benzin,Manuel,Hatchback 5 kapı,77.0,1.4,Önden Çekiş,0,"front-right-door,rear-right-door,front-left-mudguard,front-left-door,rear-left-door",,300000,14.0
37,BMW 3 Serisi320i ED Sport Line,2016,110000,Benzin,Yarı Otomatik,Sedan,170.0,1.6,Arkadan İtiş,1,,,1150000,7.0
38,Citroën C41.4 SX,2009,125000,Benzin,Manuel,Hatchback 5 kapı,90.0,1.4,Önden Çekiş,0,"rear-left-mudguard,rear-bumper",,335000,14.0
39,Volkswagen Polo1.4 TDI Trendline,2014,125000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.4,Önden Çekiş,0,,,400000,9.0
40,Honda Civic1.6 i ES,2000,309000,Benzin & LPG,Otomatik,Sedan,125.0,1.6,Önden Çekiş,0,,,249750,23.0
41,Renault Megane1.5 Blue DCI Touch,2019,127000,Dizel,Yarı Otomatik,Sedan,115.0,1.5,Önden Çekiş,0,,,720000,4.0
42,Fiat Linea1.3 Multijet Easy,2014,219000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,,,312500,9.0
43,Opel Corsa1.3 CDTI  Essentia,2007,296000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.2,Önden Çekiş,0,,,275000,16.0
44,Renault Clio1.5 dCi Grandtour Authentique Edition,2012,220000,Dizel,Manuel,Station Wagon,75.0,1.5,Önden Çekiş,0,,,290000,11.0
45,Honda Civic1.6i VTEC Elegance,2010,259000,Benzin & LPG,Otomatik,Sedan,125.0,1.6,Önden Çekiş,0,,,438000,13.0
46,BMW 3 Serisi316ti Compact,2003,274000,Benzin & LPG,Manuel,Hatchback 3 kapı,115.0,1.6,Arkadan İtiş,0,,,255500,20.0
47,BMW 5 Serisi530d Standart,2004,412000,Dizel,Otomatik,Sedan,231.0,3.0,Arkadan İtiş,0,"front-bumper,front-hood,front-right-mudguard,front-right-door,rear-right-door,rear-right-mudguard,rear-left-door,rear-left-mudguard,rear-hood,rear-bumper","front-left-mudguard,front-left-door",525000,19.0
48,Nissan Micra1.2 Passion,2012,103000,Benzin,Yarı Otomatik,Hatchback 5 kapı,80.0,1.2,Önden Çekiş,0,,,307000,11.0
49,BMW 3 Serisi320i ED 40th Year Edition,2015,108000,Benzin,Yarı Otomatik,Sedan,170.0,1.6,Arkadan İtiş,0,,,1300000,8.0
50,Toyota Corolla1.33 Comfort,2012,132000,Benzin,Manuel,Sedan,99.0,1.3,Önden Çekiş,0,,,395000,11.0
51,Hyundai Accent Era1.4 Team,2009,219000,Benzin & LPG,Manuel,Sedan,97.0,1.4,Önden Çekiş,0,,,261500,14.0
52,Toyota Corolla1.4 D-4D Terra,2007,276000,Dizel,Manuel,Sedan,90.0,1.4,Önden Çekiş,0,"front-hood,front-right-mudguard,rear-right-door,rear-right-mudguard,front-left-mudguard,rear-bumper","front-bumper,front-right-door",360000,16.0
53,Volkswagen Bora1.6 Pacific,2004,229500,Benzin & LPG,Manuel,Sedan,105.0,1.6,Önden Çekiş,0,,,267000,19.0
54,Audi A4A4 Sedan 40 TDI S Line,2019,45000,Dizel,Yarı Otomatik,Sedan,190.0,2.0,Önden Çekiş,0,,,1915000,4.0
55,Volvo V401.6 D Premium,2014,115000,Dizel,Yarı Otomatik,Hatchback 5 kapı,115.0,1.6,Önden Çekiş,1,,,555000,9.0
56,Hyundai Getz1.5 CRDi VGT,2007,208000,Dizel,Manuel,Hatchback 5 kapı,88.0,1.5,Önden Çekiş,0,rear-hood,,272000,16.0
57,Hyundai i201.4 MPI Style,2017,58000,Benzin,Otomatik,Hatchback 5 kapı,100.0,1.4,Önden Çekiş,0,,,585000,6.0
58,Opel Astra1.4 T Sport,2013,93333,Benzin,Otomatik,Hatchback 5 kapı,140.0,1.4,Önden Çekiş,0,rear-left-mudguard,,569000,10.0
59,Volkswagen Jetta1.6 TDI Comfortline,2014,208000,Dizel,Otomatik,Sedan,113.0,1.7,Önden Çekiş,0,"front-right-door,rear-right-door,rear-left-mudguard",,575000,9.0
60,Fiat Palio1.2 EL Speedgear,2003,223000,Benzin & LPG,Yarı Otomatik,Hatchback 5 kapı,80.0,1.2,Önden Çekiş,0,,,235000,20.0
61,Honda Civic1.6i VTEC Eco Elegance,2016,91000,Benzin & LPG,Otomatik,Sedan,125.0,1.6,Önden Çekiş,0,,,775000,7.0
62,Ford Fiesta1.4 TDCi Titanium,2012,135000,Dizel,Manuel,Hatchback 5 kapı,70.0,1.4,Önden Çekiş,0,rear-left-mudguard,,450000,11.0
63,Hyundai i201.4 CRDi Jump,2012,151000,Dizel,Manuel,Hatchback 5 kapı,90.0,1.4,Önden Çekiş,0,,,360000,11.0
64,Fiat Linea1.3 Multijet Urban,2012,150000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,,,350000,11.0
65,Renault Megane1.5 dCi Touch,2017,167000,Dizel,Otomatik,Sedan,113.0,1.5,Önden Çekiş,0,,,629000,6.0
66,Hyundai Accent Blue1.4 CVVT Mode Plus,2013,148000,Benzin & LPG,Otomatik,Sedan,108.0,1.4,Önden Çekiş,0,"front-right-mudguard,rear-right-mudguard",,455000,10.0
67,Toyota Corolla1.6 Touch,2017,85000,Benzin & LPG,Manuel,Sedan,132.0,1.6,Önden Çekiş,0,,,608500,6.0
68,Opel Astra1.6 Edition,2015,77000,Benzin & LPG,Manuel,Sedan,115.0,1.6,Önden Çekiş,0,,,533000,8.0
69,Renault Symbol1.5 DCI Touch,2017,89500,Dizel,Manuel,Sedan,90.0,1.5,Önden Çekiş,1,front-right-mudguard,"rear-right-mudguard,rear-hood",402500,6.0
70,Renault Scenic1.6 Privilege,2004,148000,Benzin & LPG,Manuel,MPV,115.0,1.6,Önden Çekiş,1,,,320000,19.0
71,Citroën C-Elysée1.6 HDi  Attraction,2016,81000,Dizel,Manuel,Sedan,92.0,1.6,Önden Çekiş,0,,"front-right-mudguard,rear-hood",425000,7.0
72,Citroën C41.6 HDi SX,2006,262000,Dizel,Manuel,Hatchback 5 kapı,110.0,1.6,Önden Çekiş,0,,,267000,17.0
73,Renault Megane1.4 Authentique,2005,301000,Benzin & LPG,Manuel,Hatchback 5 kapı,98.0,1.4,Önden Çekiş,0,"rear-right-mudguard,rear-left-door,rear-left-mudguard",,260000,18.0
74,Peugeot 5081.5 BlueHDi Allure,2019,30000,Dizel,Otomatik,Sedan,130.0,1.5,Önden Çekiş,1,,,1150000,4.0
75,Ford Focus1.6 Ghia,2006,279000,Benzin & LPG,Manuel,Hatchback 5 kapı,115.0,1.6,Önden Çekiş,0,,front-right-mudguard,295000,17.0
76,Kia Rio1.4 CRDi Concept,2016,78500,Dizel,Manuel,Hatchback 5 kapı,90.0,1.4,Önden Çekiş,0,,front-right-mudguard,469000,7.0
77,Peugeot 3081.6 HDi Comfort Pack,2011,153000,Dizel,Manuel,Hatchback 5 kapı,90.0,1.6,Önden Çekiş,0,rear-right-mudguard,,379000,12.0
78,Renault Symbol1.5 DCI Joy,2013,168500,Dizel,Manuel,Sedan,75.0,1.5,Önden Çekiş,0,front-right-mudguard,,312500,10.0
79,Volkswagen Golf1.0 TSI Impression,2022,3600,Benzin,Manuel,Hatchback 5 kapı,110.0,1.0,Önden Çekiş,0,,,890000,1.0
80,Ford Focus1.6 Ambiente,2000,305000,Benzin & LPG,Manuel,Sedan,100.0,1.6,Önden Çekiş,0,,,233000,23.0
81,Toyota Corolla1.4 D-4D Elegant,2012,297000,Dizel,Manuel,Sedan,90.0,1.4,Önden Çekiş,0,,,390000,11.0
82,Mercedes - Benz C SerisiC 180 AMG,2012,120000,Benzin,Otomatik,Sedan,156.0,1.6,Arkadan İtiş,0,,,950000,11.0
83,Toyota Corolla1.4 D-4D Comfort,2010,187000,Dizel,Yarı Otomatik,Sedan,90.0,1.4,Önden Çekiş,0,"rear-right-door,rear-left-door",,460000,13.0
84,Renault Symbol1.5 DCI Expression,2010,15500,Dizel,Manuel,Sedan,85.0,1.5,Önden Çekiş,0,,,288750,13.0
85,Honda Civic1.5 VTEC Sport,2017,125000,Benzin,Yarı Otomatik,Hatchback 5 kapı,182.0,1.5,Önden Çekiş,1,,,620000,6.0
86,Hyundai i301.6 CRDi Style,2013,94235,Dizel,Otomatik,Hatchback 5 kapı,128.0,1.6,Önden Çekiş,0,"rear-right-door,rear-right-mudguard,rear-left-mudguard","front-right-mudguard,front-left-mudguard,front-left-door,rear-left-door",520000,10.0
87,Hyundai Elantra1.6 D-CVVT Prime,2012,199970,Benzin & LPG,Otomatik,Sedan,132.0,1.6,Önden Çekiş,0,"rear-right-door,rear-right-mudguard,front-left-mudguard,front-left-door,rear-left-door,rear-left-mudguard",,490000,11.0
88,Honda Civic1.6 VTEC LS,2003,239000,Benzin & LPG,Manuel,Sedan,110.0,1.6,Önden Çekiş,0,,,325000,20.0
89,Toyota Corolla1.4 D-4D Elegant,2011,160000,Dizel,Manuel,Sedan,90.0,1.4,Önden Çekiş,0,,,385000,12.0
90,Fiat Egea1.4 Fire Urban Plus,2020,50000,Benzin,Manuel,Sedan,95.0,1.4,Önden Çekiş,0,front-right-mudguard,,496000,3.0
91,Toyota Corolla1.4 D-4D Comfort,2010,309000,Dizel,Manuel,Sedan,90.0,1.4,Önden Çekiş,0,,,350000,13.0
92,Mercedes - Benz C SerisiC 180 Avantgarde,2011,212000,Benzin & LPG,Otomatik,Sedan,156.0,1.8,Arkadan İtiş,1,"front-right-door,rear-right-mudguard,rear-left-mudguard","front-left-mudguard,rear-left-door,rear-hood",585000,12.0
93,Renault Fluence1.5 dCi Touch,2016,100000,Dizel,Yarı Otomatik,Sedan,113.0,1.5,Önden Çekiş,0,,,495000,7.0
94,Volkswagen Golf1.6 FSI Comfortline,2006,142000,Benzin,Otomatik,Hatchback 5 kapı,102.0,1.6,Önden Çekiş,0,,,398000,17.0
95,Citroën C11.0 SX Sensodrive,2012,103500,Benzin,Yarı Otomatik,Hatchback 5 kapı,68.0,1.0,Önden Çekiş,1,,,315000,11.0
96,Volkswagen Polo1.4 TDI Comfortline,2014,82500,Dizel,Yarı Otomatik,Hatchback 5 kapı,90.0,1.4,Önden Çekiş,0,rear-left-mudguard,,550000,9.0
97,Fiat PuntoGrande 1.3 Multijet Dynamic,2006,240000,Dizel,Manuel,Hatchback 5 kapı,90.0,1.2,Önden Çekiş,0,,,270000,17.0
98,Fiat Linea1.3 Multijet Active Plus,2012,113000,Dizel,Manuel,Sedan,90.0,1.2,Önden Çekiş,0,,,362500,11.0
99,Ford Fiesta1.5 TDCi Trend,2013,193000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.5,Önden Çekiş,0,,,310000,10.0
100,BMW 3 Serisi320i M Sport,2022,1001,Benzin,Otomatik,Sedan,170.0,1.6,Arkadan İtiş,0,,,2475000,1.0
101,Citroën C11.0 SX Sensodrive,2010,120000,Benzin,Yarı Otomatik,Hatchback 5 kapı,68.0,1.0,Önden Çekiş,1,"front-hood,front-right-mudguard,front-right-door",,280000,13.0
102,Renault Megane1.3 TCe Joy Comfort,2022,1450,Benzin,Yarı Otomatik,Sedan,140.0,1.3,Önden Çekiş,0,,,822500,1.0
103,Toyota Corolla1.6 Elegant,2012,150000,Benzin & LPG,Manuel,Sedan,124.0,1.6,Önden Çekiş,0,,,500000,11.0
104,Mercedes - Benz C SerisiC 200 d BlueTEC Style,2016,119000,Dizel,Otomatik,Sedan,136.0,1.6,Arkadan İtiş,0,,,1075000,7.0
105,Opel Astra1.6 Enjoy Twinport,2006,175000,Benzin,Manuel,Hatchback 5 kapı,88.0,1.5,Önden Çekiş,0,,front-left-mudguard,345000,17.0
106,Opel Corsa1.2 Enjoy,2017,28600,Benzin,Manuel,Hatchback 5 kapı,70.0,1.2,Önden Çekiş,0,"front-bumper,rear-hood",,450000,6.0
107,Renault Fluence1.5 dCi Icon,2016,164000,Dizel,Yarı Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,,471000,7.0
108,Volkswagen Passat1.6 TDI BlueMotion Comfortline,2015,180000,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,"rear-right-door,rear-right-mudguard",,815000,8.0
109,Audi A4A4 Sedan 2.0 TDI Dynamic,2017,130000,Dizel,Yarı Otomatik,Sedan,190.0,2.0,Önden Çekiş,0,,,1320000,6.0
110,Renault Megane1.3 TCe Joy Comfort,2022,3300,Benzin,Yarı Otomatik,Sedan,140.0,1.3,Önden Çekiş,0,,,910000,1.0
111,Renault Clio1.5 dCi Touch,2019,197900,Dizel,Yarı Otomatik,Hatchback 5 kapı,90.0,1.5,Önden Çekiş,0,,,512500,4.0
112,Hyundai Accent1.6 Admire,2005,243000,Benzin & LPG,Manuel,Sedan,112.0,1.6,Önden Çekiş,0,,,245000,18.0
113,Renault Fluence1.5 dCi Touch,2015,117000,Dizel,Yarı Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,,500000,8.0
114,Renault Symbol1.2 Authentique,2009,251400,Benzin,Manuel,Sedan,75.0,1.1,Önden Çekiş,0,rear-bumper,,250000,14.0
115,Volkswagen Jetta1.6 Primeline,2007,217000,Benzin & LPG,Otomatik,Sedan,102.0,1.6,Önden Çekiş,0,front-left-mudguard,,417000,16.0
116,Opel Astra1.6 Edition,2015,92000,Benzin & LPG,Manuel,Sedan,115.0,1.6,Önden Çekiş,0,,,475000,8.0
117,Citroën C4 1.2 PureTechShine Bold,2021,9200,Benzin,Otomatik,Hatchback 5 kapı,155.0,1.2,Önden Çekiş,0,,,990000,2.0
118,Renault Latitude1.5 dCi Executive,2011,199000,Dizel,Manuel,Sedan,110.0,1.5,Önden Çekiş,0,,"rear-left-door,rear-left-mudguard",465000,12.0
119,Seat Leon1.4 EcoTSI FR,2017,92000,Benzin,Yarı Otomatik,Hatchback 5 kapı,150.0,1.4,Önden Çekiş,0,,,910000,6.0
120,Renault Fluence1.5 dCi Joy,2013,404000,Dizel,Manuel,Sedan,88.0,1.5,Önden Çekiş,0,,,283000,10.0
121,Opel Meriva1.3 CDTI Enjoy,2008,203000,Dizel,Manuel,MPV,75.0,1.2,Önden Çekiş,0,"front-bumper,front-hood,front-left-mudguard,front-left-door,rear-left-door,rear-left-mudguard,rear-bumper",front-right-door,282000,15.0
122,Mercedes - Benz C SerisiC 180 Avantgarde,2017,100000,Benzin,Otomatik,Sedan,156.0,1.6,Arkadan İtiş,1,,"front-left-door,rear-bumper",1250000,6.0
123,BMW 5 Serisi525d xDrive  M Sport,2012,225000,Dizel,Otomatik,Sedan,213.0,1.9,4WD (Sürekli),0,,"front-bumper,front-right-mudguard",1350000,11.0
124,Kia Ceed1.6 CRDi Premium SW,2013,186000,Dizel,Otomatik,Station Wagon,128.0,1.6,Önden Çekiş,0,,,530000,10.0
125,BMW 5 Serisi520i M Sport,2021,65000,Benzin,Otomatik,Sedan,170.0,1.6,Arkadan İtiş,0,,,2550000,2.0
126,Volkswagen Passat1.6 TDI BlueMotion Comfortline,2018,183000,Dizel,Yarı Otomatik,Sedan,120.0,1.6,Önden Çekiş,0,,,915000,5.0
127,Renault Megane1.5 dCi Touch,2017,140000,Dizel,Yarı Otomatik,Sedan,110.0,1.5,Önden Çekiş,0,,"front-bumper,front-left-mudguard",605000,6.0
128,BMW 1 Serisi116i Comfort,2011,77000,Benzin,Otomatik,Hatchback 5 kapı,116.0,1.6,Arkadan İtiş,0,front-right-mudguard,,485000,12.0
129,Volkswagen Passat1.6 TDI BlueMotion Comfortline,2013,155000,Dizel,Yarı Otomatik,Sedan,105.0,1.6,Önden Çekiş,0,front-hood,,695000,10.0
130,Honda Civic1.6i VTEC Dream,2009,333000,Benzin & LPG,Manuel,Sedan,125.0,1.6,Önden Çekiş,0,"rear-left-mudguard,rear-hood",,345000,14.0
131,Renault Clio1.0 SCe Joy,2023,1001,Benzin,Manuel,Hatchback 5 kapı,65.0,1.0,Önden Çekiş,0,,,505000,0.0
132,Peugeot 3011.6 HDi Active,2013,135000,Dizel,Manuel,Sedan,92.0,1.6,Önden Çekiş,1,,,284500,10.0
133,BMW 4 Serisi418i Gran Coupe Gran Coupe,2015,115300,Benzin,Otomatik,Coupe,136.0,1.5,Arkadan İtiş,0,,,1099000,8.0
134,Volkswagen Golf1.2 TSI Comfortline,2015,95000,Benzin,Yarı Otomatik,Hatchback 5 kapı,110.0,1.2,Önden Çekiş,0,front-hood,front-right-mudguard,710000,8.0
135,Seat Toledo1.6 TDI Style,2015,137000,Dizel,Yarı Otomatik,Sedan,88.0,1.5,Önden Çekiş,0,,,530000,8.0
136,Renault Clio1.5 dCi GT Line,2014,175000,Dizel,Manuel,Hatchback 5 kapı,88.0,1.7,Önden Çekiş,0,,,490000,9.0
137,Volkswagen Jetta1.6 TDI Comfortline,2013,143000,Dizel,Manuel,Sedan,105.0,1.6,Önden Çekiş,0,front-left-mudguard,front-hood,565000,10.0
138,Renault Symbol1.2 Authentique Edition,2012,189000,Benzin & LPG,Manuel,Sedan,75.0,1.1,Önden Çekiş,0,,,295000,11.0
139,Audi A4A4 Avant 1.8 TFSI,2009,218000,Benzin,Yarı Otomatik,Station Wagon,160.0,1.8,Önden Çekiş,0,,,705000,14.0
140,Peugeot 2061.4 Color Line,2002,221000,Benzin & LPG,Manuel,Hatchback 5 kapı,75.0,1.4,Önden Çekiş,0,,,215000,21.0
141,Mercedes - Benz E SerisiE 270 CDI Avantgarde,2003,385000,Dizel,Otomatik,Sedan,177.0,2.7,Arkadan İtiş,0,"front-right-mudguard,rear-right-door,rear-right-mudguard,front-left-mudguard,rear-hood",,575000,20.0
142,Renault Megane1.6 Dynamique,2011,98000,Benzin & LPG,Otomatik,Hatchback 5 kapı,105.0,1.6,Önden Çekiş,0,,,463000,12.0
143,Opel Corsa1.4 Twinport Enjoy,2011,107000,Benzin,Otomatik,Hatchback 5 kapı,100.0,1.4,Önden Çekiş,0,,,435000,12.0
144,Renault Megane1.5 dCi Dynamique,2011,246000,Dizel,Manuel,Hatchback 5 kapı,105.0,1.5,Önden Çekiş,0,,"front-hood,front-left-mudguard,front-left-door,rear-left-door,rear-hood",320000,12.0
145,Fiat Egea1.3 Multijet Easy,2015,203000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,,,385000,8.0
146,Volkswagen Golf1.6 TDI Trendline,2010,90000,Dizel,Manuel,Hatchback 5 kapı,105.0,1.6,Önden Çekiş,0,,,540000,13.0
147,Nissan Micra1.2 Match,2015,64000,Benzin,Yarı Otomatik,Hatchback 5 kapı,80.0,1.2,Önden Çekiş,1,"front-hood,front-right-mudguard,front-right-door,rear-right-door,front-left-mudguard,front-left-door,rear-left-door",,384500,8.0
148,Peugeot 3011.6 HDi Active,2016,125000,Dizel,Manuel,Sedan,92.0,1.6,Önden Çekiş,0,,,419500,7.0
149,Mercedes - Benz E Serisi E 200 dAvantgarde,2020,26000,Dizel,Otomatik,Sedan,160.0,1.6,Arkadan İtiş,0,,,2375000,3.0
150,Peugeot 208 1.2 PureTechActive,2015,56158,Benzin,Yarı Otomatik,Hatchback 5 kapı,82.0,1.2,Önden Çekiş,0,,,523000,8.0
151,Toyota Corolla1.4 D-4D Advance,2015,81000,Dizel,Manuel,Sedan,90.0,1.4,Önden Çekiş,0,,,615000,8.0
152,Ford Focus1.6 Ghia,2000,212000,Benzin & LPG,Manuel,Hatchback 5 kapı,100.0,1.6,Önden Çekiş,0,,,225000,23.0
153,Volkswagen Polo1.2 TDI Trendline,2012,137000,Dizel,Manuel,Hatchback 5 kapı,75.0,1.2,Önden Çekiş,0,,,395000,11.0
154,Honda Civic1.5 VTEC Eco Elegance,2022,3000,Benzin & LPG,Yarı Otomatik,Sedan,129.0,1.5,Önden Çekiş,0,,,1279000,1.0
155,Hyundai i301.6 GDi Style,2013,136000,Benzin,Otomatik,Hatchback 5 kapı,135.0,1.6,Önden Çekiş,0,"front-right-mudguard,rear-right-door,rear-right-mudguard",,535000,10.0
156,Fiat Egea1.3 Multijet Easy,2016,148000,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,,,405000,7.0
157,Mercedes - Benz C SerisiC 200 d BlueTEC AMG,2016,81000,Dizel,Otomatik,Sedan,136.0,1.6,Arkadan İtiş,0,,,1685000,7.0
158,Volkswagen Golf1.0 eTSI Life,2022,11800,Benzin,Yarı Otomatik,Hatchback 5 kapı,110.0,1.0,Önden Çekiş,0,,,1065000,1.0
159,Fiat Egea1.3 Multijet Urban Plus,2020,49700,Dizel,Manuel,Sedan,95.0,1.2,Önden Çekiş,0,"front-left-door,rear-left-door",,559000,3.0
160,Ford Focus1.5 TDCi Trend X,2016,153000,Dizel,Yarı Otomatik,Sedan,120.0,1.5,Önden Çekiş,0,,,650000,7.0
161,Fiat Punto1.4 Easy S&S,2012,100000,Benzin,Manuel,Hatchback 5 kapı,77.0,1.4,Önden Çekiş,0,,,368000,11.0
162,BMW 1 Serisi116d One Edition,2016,125000,Dizel,Otomatik,Hatchback 5 kapı,116.0,1.5,Arkadan İtiş,0,"front-hood,front-right-mudguard,rear-right-mudguard",rear-left-door,789500,7.0
163,Ford Focus1.6 TDCi Titanium,2016,87000,Dizel,Manuel,Sedan,115.0,1.6,Önden Çekiş,0,,,665000,7.0
164,Audi A84.2 Quattro Quattro Long,2005,197000,Benzin & LPG,Otomatik,Sedan,335.0,4.2,4WD (Sürekli),0,,,715000,18.0
